strength_config,top8_title_share,ladder,teams_per_drafter,policy,spearman_mean,skill_variance_share,top_tie_rate,winning_score_mean,slot_win_prob_spread,champion_undrafted_rate,p_champion_holder_wins
elo_2026,0.9131,linear,4,ev_greedy,0.1708,0.0373,0.1985,11.7676,0.1336,0.001,0.5365
elo_2026,0.9131,linear,4,variance,0.2492,0.0808,0.1916,11.7791,0.103,0.0011,0.5313
elo_2026,0.9131,linear,5,ev_greedy,0.1896,0.0459,0.1859,12.8911,0.1483,0.0003,0.5199
elo_2026,0.9131,linear,5,variance,0.2536,0.0824,0.1877,12.8862,0.0988,0.0002,0.5097
elo_2026,0.9131,linear,6,ev_greedy,0.1642,0.0359,0.1828,13.6896,0.1285,0.0,0.4989
elo_2026,0.9131,linear,6,variance,0.242,0.075,0.1816,13.706,0.0878,0.0,0.4892
elo_2026,0.9131,linear,8,ev_greedy,0.1515,0.0318,0.1776,14.5223,0.1184,0.0,0.4792
elo_2026,0.9131,linear,8,variance,0.232,0.0713,0.1737,14.5792,0.0872,0.0,0.474
elo_2026,0.9131,triangular,4,ev_greedy,0.2234,0.0642,0.0463,30.2812,0.2345,0.0009,0.7928
elo_2026,0.9131,triangular,4,variance,0.2271,0.0643,0.0445,30.2848,0.2232,0.0009,0.7856
elo_2026,0.9131,triangular,5,ev_greedy,0.232,0.0695,0.0502,31.7603,0.2357,0.0002,0.7733
elo_2026,0.9131,triangular,5,variance,0.2311,0.067,0.0494,31.7001,0.2198,0.0003,0.7648
elo_2026,0.9131,triangular,6,ev_greedy,0.2219,0.0643,0.0495,32.6925,0.2253,0.0001,0.759
elo_2026,0.9131,triangular,6,variance,0.2238,0.0628,0.0516,32.6344,0.2089,0.0,0.7498
elo_2026,0.9131,triangular,8,ev_greedy,0.2184,0.0627,0.0506,33.5978,0.2208,0.0,0.748
elo_2026,0.9131,triangular,8,variance,0.2215,0.0615,0.0517,33.5801,0.2053,0.0,0.7392
elo_2026,0.9131,geometric,4,ev_greedy,0.247,0.0909,0.0005,38.7376,0.3146,0.0009,0.9994
elo_2026,0.9131,geometric,4,variance,0.243,0.0894,0.0005,38.7146,0.3157,0.0009,0.9993
elo_2026,0.9131,geometric,5,ev_greedy,0.2544,0.0948,0.0007,39.8235,0.3145,0.0003,0.9991
elo_2026,0.9131,geometric,5,variance,0.2496,0.093,0.0008,39.7675,0.3156,0.0003,0.9989
elo_2026,0.9131,geometric,6,ev_greedy,0.2487,0.0916,0.0008,40.5129,0.3142,0.0001,0.9988
elo_2026,0.9131,geometric,6,variance,0.2461,0.091,0.0008,40.4747,0.3156,0.0,0.9986
elo_2026,0.9131,geometric,8,ev_greedy,0.2462,0.0905,0.0011,41.2149,0.3141,0.0,0.9982
elo_2026,0.9131,geometric,8,variance,0.2419,0.0898,0.0008,41.2221,0.3154,0.0,0.9982
synthetic_x0.5,0.7088,linear,4,ev_greedy,0.1595,0.0322,0.1652,11.3317,0.1424,0.0475,0.5882
synthetic_x0.5,0.7088,linear,4,variance,0.1791,0.0396,0.1665,11.3202,0.1527,0.0481,0.5935
synthetic_x0.5,0.7088,linear,5,ev_greedy,0.1574,0.0327,0.1578,12.7179,0.1385,0.0223,0.5532
synthetic_x0.5,0.7088,linear,5,variance,0.1766,0.0396,0.1589,12.7123,0.1443,0.0219,0.5544
synthetic_x0.5,0.7088,linear,6,ev_greedy,0.133,0.0242,0.1498,13.8619,0.1174,0.0064,0.5225
synthetic_x0.5,0.7088,linear,6,variance,0.155,0.0311,0.1553,13.8472,0.1275,0.0068,0.5266
synthetic_x0.5,0.7088,linear,8,ev_greedy,0.134,0.0249,0.1451,15.3318,0.1141,0.0,0.4941
synthetic_x0.5,0.7088,linear,8,variance,0.157,0.0325,0.1447,15.3371,0.1287,0.0,0.4989
synthetic_x0.5,0.7088,triangular,4,ev_greedy,0.1788,0.0451,0.0397,29.6163,0.1954,0.0473,0.8244
synthetic_x0.5,0.7088,triangular,4,variance,0.1876,0.0463,0.0399,29.6101,0.1943,0.0482,0.826
synthetic_x0.5,0.7088,triangular,5,ev_greedy,0.1788,0.0453,0.0422,31.8957,0.1898,0.0221,0.7838
synthetic_x0.5,0.7088,triangular,5,variance,0.1869,0.0464,0.041,31.9077,0.1864,0.0218,0.786
synthetic_x0.5,0.7088,triangular,6,ev_greedy,0.1647,0.0388,0.0429,33.6444,0.1765,0.0063,0.7538
synthetic_x0.5,0.7088,triangular,6,variance,0.1736,0.0403,0.0423,33.6685,0.1765,0.0065,0.7544
synthetic_x0.5,0.7088,triangular,8,ev_greedy,0.1671,0.04,0.0455,35.6355,0.1714,0.0,0.726
synthetic_x0.5,0.7088,triangular,8,variance,0.1754,0.0418,0.0422,35.6888,0.1722,0.0,0.7292
synthetic_x0.5,0.7088,geometric,4,ev_greedy,0.1851,0.0543,0.0019,37.8954,0.2307,0.0475,0.9993
synthetic_x0.5,0.7088,geometric,4,variance,0.1914,0.0542,0.0015,37.8498,0.2294,0.0487,0.9994
synthetic_x0.5,0.7088,geometric,5,ev_greedy,0.1866,0.0544,0.0018,39.8524,0.2308,0.022,0.9982
synthetic_x0.5,0.7088,geometric,5,variance,0.192,0.0545,0.0017,39.7849,0.2274,0.0228,0.9982
