shape,D/W,gamma,gamma_realised,paired_dskill,paired_se,engagement_gvs,tie_rate,slot_spread,champ_dom,abs_skill,tie_cluster_se
geometric,1:0,0.05,0.05,-0.001085,0.000429,0.000313,1e-05,0.34265,0.999605,0.293683,
geometric,1:0,0.12,0.12,-0.000627,0.000678,0.002087,1.5e-05,0.343188,0.999448,0.294141,
geometric,1:0,gamma_match,0.146776,0.000709,0.000822,0.003308,0.00011,0.343015,0.99941,0.295477,
geometric,1:0,0.25,0.25,-0.000612,0.001186,0.01214,1.5e-05,0.343315,0.998632,0.294156,
geometric,1:0,0.5,0.5,-0.007349,0.001891,0.095082,2.5e-05,0.338858,0.98366,0.287419,
geometric,2:1,0.05,0.05,-0.002487,0.000376,0.000149,0.0,0.34262,0.999595,0.292281,
geometric,2:1,0.12,0.12,-0.002483,0.000571,0.000994,0.0,0.34333,0.999555,0.292285,
geometric,2:1,gamma_match,0.176471,-0.002859,0.000788,0.002444,3.5e-05,0.343205,0.999422,0.291909,
geometric,2:1,0.25,0.25,-0.003944,0.001018,0.005878,0.0,0.34342,0.999035,0.290824,
geometric,2:1,0.5,0.5,-0.013187,0.001847,0.048633,0.000465,0.340532,0.992542,0.281581,
geometric,3:1,0.05,0.05,-0.002222,0.000407,0.000178,0.0,0.342625,0.999575,0.292546,
geometric,3:1,0.12,0.12,-0.001767,0.000612,0.001184,0.0,0.34323,0.99954,0.293001,
geometric,3:1,gamma_match,0.166805,-0.001772,0.000781,0.002543,3e-05,0.343008,0.99944,0.292996,
geometric,3:1,0.25,0.25,-0.002495,0.001071,0.006956,0.0,0.343335,0.99898,0.292273,
geometric,3:1,0.5,0.5,-0.010892,0.00189,0.056827,5e-06,0.34035,0.991088,0.283876,
linear,1:0,0.05,0.05,-0.005831,0.000706,0.001617,0.022365,0.153868,0.463387,0.205544,
linear,1:0,0.12,0.12,-0.005529,0.000757,0.010248,0.021485,0.155174,0.466757,0.205845,
linear,1:0,gamma_match,0.234199,-0.009485,0.001231,0.045488,0.071005,0.147586,0.443814,0.201889,
linear,1:0,0.25,0.25,-0.011491,0.001326,0.052944,0.030695,0.144869,0.435564,0.199883,
linear,1:0,0.5,0.5,-0.040322,0.002531,0.276237,0.030595,0.11227,0.342615,0.171052,
linear,2:1,0.05,0.05,-0.010782,0.000796,0.000776,0.00971,0.149762,0.459656,0.200592,
linear,2:1,0.12,0.12,-0.011415,0.000879,0.004998,0.009565,0.148695,0.460348,0.199959,
linear,2:1,0.25,0.25,-0.015084,0.001159,0.026936,0.009925,0.143921,0.446463,0.19629,
linear,2:1,gamma_match,0.275862,-0.015827,0.001185,0.03427,0.01513,0.141586,0.442611,0.195547,
linear,2:1,0.5,0.5,-0.038053,0.002246,0.16539,0.012265,0.118402,0.383842,0.173321,
linear,3:1,0.05,0.05,-0.009536,0.000791,0.000923,0.006475,0.150227,0.457618,0.201838,
linear,3:1,0.12,0.12,-0.00967,0.000846,0.005915,0.013455,0.15038,0.458873,0.201704,
linear,3:1,0.25,0.25,-0.013378,0.001178,0.031528,0.00685,0.145662,0.447635,0.197996,
linear,3:1,gamma_match,0.262488,-0.013772,0.001225,0.035486,0.01061,0.145152,0.444776,0.197602,
linear,3:1,0.5,0.5,-0.035586,0.002294,0.187037,0.00665,0.122217,0.380557,0.175788,
triangular,1:0,0.05,0.05,-0.001459,0.000389,0.000636,0.003995,0.281282,0.806422,0.281823,
triangular,1:0,0.12,0.12,-0.000694,0.000554,0.004191,0.002905,0.279167,0.799716,0.282588,
triangular,1:0,gamma_match,0.138345,-0.000709,0.000648,0.005778,0.016975,0.278231,0.795452,0.282573,
triangular,1:0,0.25,0.25,-0.002967,0.00108,0.023718,0.00421,0.272054,0.770753,0.280315,
triangular,1:0,0.5,0.5,-0.019586,0.002149,0.162982,0.00412,0.237642,0.656339,0.263696,
triangular,2:1,0.05,0.05,-0.002605,0.00039,0.000303,0.001815,0.280188,0.803496,0.280677,
triangular,2:1,0.12,0.12,-0.002551,0.00052,0.002003,0.001255,0.278785,0.802722,0.280731,
triangular,2:1,gamma_match,0.166667,-0.003135,0.000633,0.004254,0.00347,0.276122,0.794467,0.280147,
triangular,2:1,0.25,0.25,-0.004828,0.000937,0.011559,0.00137,0.273073,0.783391,0.278454,
triangular,2:1,0.5,0.5,-0.019766,0.001917,0.088254,0.00433,0.248499,0.706955,0.263515,
triangular,3:1,0.05,0.05,-0.002265,0.000391,0.000361,0.001165,0.280772,0.805438,0.281017,
triangular,3:1,0.12,0.12,-0.002015,0.000524,0.002381,0.00098,0.278462,0.80091,0.281267,
triangular,3:1,gamma_match,0.157435,-0.002474,0.000674,0.004429,0.002145,0.277685,0.797158,0.280808,
triangular,3:1,0.25,0.25,-0.003933,0.000913,0.01368,0.001035,0.273795,0.782,0.279349,
triangular,3:1,0.5,0.5,-0.018514,0.001942,0.101962,0.00113,0.246615,0.699625,0.264767,
triangular,-,0 (mix=0 anchor),0.0,0.0,0.0,0.0,0.049115,0.283207,0.813624,0.283282,0.000455
triangular,3:1,gamma_match (integer),0.157435,-0.002474,0.000674,0.004429,0.005485,0.277323,0.796142,0.280836,0.000166
